link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA508589_Orbicella-faveolata	SRR8284233	sample11	dummy	BioSample: SAMN10525341; Sample name: FLK-163; SRA: SRS4109563	breed: not aplicable	SINGLE	1451830	1451830
PRJNA508589_Orbicella-faveolata	SRR8284234	sample12	dummy	BioSample: SAMN10525340; Sample name: FLK-160; SRA: SRS4109562	breed: not aplicable	SINGLE	1373236	1373236
PRJNA508589_Orbicella-faveolata	SRR8284235	sample13	dummy	BioSample: SAMN10525335; Sample name: FLK-165; SRA: SRS4109561	breed: not aplicable	SINGLE	2134131	2134131
PRJNA508589_Orbicella-faveolata	SRR8284236	sample14	dummy	BioSample: SAMN10525334; Sample name: FLK-162; SRA: SRS4109560	breed: not aplicable	SINGLE	1025115	1025115
PRJNA508589_Orbicella-faveolata	SRR8284237	sample15	dummy	BioSample: SAMN10525337; Sample name: FLK-159; SRA: SRS4109559	breed: not aplicable	SINGLE	1093335	1093335
PRJNA508589_Orbicella-faveolata	SRR8284238	sample16	dummy	BioSample: SAMN10525336; Sample name: FLK-161; SRA: SRS4109558	breed: not aplicable	SINGLE	1374965	1374965
PRJNA508589_Orbicella-faveolata	SRR8284239	sample17	dummy	BioSample: SAMN10525343; Sample name: FLK-167; SRA: SRS4109557	breed: not aplicable	SINGLE	869037	869037
PRJNA508589_Orbicella-faveolata	SRR8284240	sample18	dummy	BioSample: SAMN10525342; Sample name: FLK-168; SRA: SRS4109556	breed: not aplicable	SINGLE	1066194	1066194
PRJNA508589_Orbicella-faveolata	SRR8284241	sample19	dummy	BioSample: SAMN10525169; Sample name: FLK-200; SRA: SRS4109555	breed: not aplicable	SINGLE	1016944	1016944
PRJNA508589_Orbicella-faveolata	SRR8284242	sample20	dummy	BioSample: SAMN10525352; Sample name: FLK-172; SRA: SRS4109554	breed: not aplicable	SINGLE	1281664	1281664
PRJNA508589_Orbicella-faveolata	SRR8284243	sample21	dummy	BioSample: SAMN10525353; Sample name: FLK-175; SRA: SRS4109553	breed: not aplicable	SINGLE	1118557	1118557
PRJNA508589_Orbicella-faveolata	SRR8284244	sample22	dummy	BioSample: SAMN10525221; Sample name: FLK-48; SRA: SRS4109552	breed: not aplicable	SINGLE	1462908	1462908
PRJNA508589_Orbicella-faveolata	SRR8284245	sample23	dummy	BioSample: SAMN10525220; Sample name: FLK-45; SRA: SRS4109551	breed: not aplicable	SINGLE	1862249	1862249
PRJNA508589_Orbicella-faveolata	SRR8284246	sample24	dummy	BioSample: SAMN10525215; Sample name: FLK-50; SRA: SRS4109550	breed: not aplicable	SINGLE	1640925	1640925
PRJNA508589_Orbicella-faveolata	SRR8284247	sample25	dummy	BioSample: SAMN10525214; Sample name: FLK-47; SRA: SRS4109549	breed: not aplicable	SINGLE	1460287	1460287
PRJNA508589_Orbicella-faveolata	SRR8284248	sample26	dummy	BioSample: SAMN10525217; Sample name: FLK-44; SRA: SRS4109548	breed: not aplicable	SINGLE	1726037	1726037
PRJNA508589_Orbicella-faveolata	SRR8284250	sample27	dummy	BioSample: SAMN10525344; Sample name: FLK-169; SRA: SRS4109547	breed: not aplicable	SINGLE	685167	685167
PRJNA508589_Orbicella-faveolata	SRR8284251	sample28	dummy	BioSample: SAMN10525345; Sample name: FLK-170; SRA: SRS4109545	breed: not aplicable	SINGLE	640550	640550
PRJNA508589_Orbicella-faveolata	SRR8284252	sample29	dummy	BioSample: SAMN10525346; Sample name: FLK-174; SRA: SRS4109544	breed: not aplicable	SINGLE	463960	463960
PRJNA508589_Orbicella-faveolata	SRR8284253	sample30	dummy	BioSample: SAMN10525347; Sample name: FLK-177; SRA: SRS4109543	breed: not aplicable	SINGLE	1770404	1770404
PRJNA508589_Orbicella-faveolata	SRR8284254	sample31	dummy	BioSample: SAMN10525348; Sample name: FLK-173; SRA: SRS4109541	breed: not aplicable	SINGLE	1043671	1043671
PRJNA508589_Orbicella-faveolata	SRR8284255	sample32	dummy	BioSample: SAMN10525349; Sample name: FLK-171; SRA: SRS4109542	breed: not aplicable	SINGLE	1294264	1294264
PRJNA508589_Orbicella-faveolata	SRR8284256	sample33	dummy	BioSample: SAMN10525350; Sample name: FLK-166; SRA: SRS4109540	breed: not aplicable	SINGLE	762054	762054
PRJNA508589_Orbicella-faveolata	SRR8284257	sample34	dummy	BioSample: SAMN10525351; Sample name: FLK-176; SRA: SRS4109538	breed: not aplicable	SINGLE	1318777	1318777
PRJNA508589_Orbicella-faveolata	SRR8284258	sample35	dummy	BioSample: SAMN10525264; Sample name: FLK-92; SRA: SRS4109539	breed: not aplicable	SINGLE	1119475	1119475
PRJNA508589_Orbicella-faveolata	SRR8284259	sample36	dummy	BioSample: SAMN10525265; Sample name: FLK-90; SRA: SRS4109537	breed: not aplicable	SINGLE	1313262	1313262
PRJNA508589_Orbicella-faveolata	SRR8284260	sample37	dummy	BioSample: SAMN10525266; Sample name: FLK-85; SRA: SRS4109536	breed: not aplicable	SINGLE	1339666	1339666
PRJNA508589_Orbicella-faveolata	SRR8284261	sample38	dummy	BioSample: SAMN10525267; Sample name: FLK-95; SRA: SRS4109535	breed: not aplicable	SINGLE	1279726	1279726
PRJNA508589_Orbicella-faveolata	SRR8284262	sample39	dummy	BioSample: SAMN10525268; Sample name: FLK-91; SRA: SRS4109534	breed: not aplicable	SINGLE	1600940	1600940
PRJNA508589_Orbicella-faveolata	SRR8284263	sample40	dummy	BioSample: SAMN10525269; Sample name: FLK-94; SRA: SRS4109533	breed: not aplicable	SINGLE	1029660	1029660
PRJNA508589_Orbicella-faveolata	SRR8284264	sample41	dummy	BioSample: SAMN10525270; Sample name: FLK-99; SRA: SRS4109532	breed: not aplicable	SINGLE	1327346	1327346
PRJNA508589_Orbicella-faveolata	SRR8284265	sample42	dummy	BioSample: SAMN10525271; Sample name: FLK-98; SRA: SRS4109531	breed: not aplicable	SINGLE	680686	680686
PRJNA508589_Orbicella-faveolata	SRR8284266	sample43	dummy	BioSample: SAMN10525272; Sample name: FLK-100; SRA: SRS4109530	breed: not aplicable	SINGLE	905994	905994
PRJNA508589_Orbicella-faveolata	SRR8284267	sample44	dummy	BioSample: SAMN10525273; Sample name: FLK-101; SRA: SRS4109529	breed: not aplicable	SINGLE	985021	985021
PRJNA508589_Orbicella-faveolata	SRR8284268	sample45	dummy	BioSample: SAMN10525208; Sample name: FLK-35; SRA: SRS4109528	breed: not aplicable	SINGLE	356760	356760
PRJNA508589_Orbicella-faveolata	SRR8284269	sample46	dummy	BioSample: SAMN10525361; Sample name: FLK-183; SRA: SRS4109527	breed: not aplicable	SINGLE	839612	839612
PRJNA508589_Orbicella-faveolata	SRR8284270	sample47	dummy	BioSample: SAMN10525360; Sample name: FLK-185; SRA: SRS4109526	breed: not aplicable	SINGLE	1374492	1374492
PRJNA508589_Orbicella-faveolata	SRR8284271	sample48	dummy	BioSample: SAMN10525359; Sample name: FLK-189; SRA: SRS4109525	breed: not aplicable	SINGLE	1047257	1047257
PRJNA508589_Orbicella-faveolata	SRR8284272	sample49	dummy	BioSample: SAMN10525358; Sample name: FLK-186; SRA: SRS4109524	breed: not aplicable	SINGLE	838523	838523
PRJNA508589_Orbicella-faveolata	SRR8284273	sample50	dummy	BioSample: SAMN10525357; Sample name: FLK-182; SRA: SRS4109523	breed: not aplicable	SINGLE	1200458	1200458
PRJNA508589_Orbicella-faveolata	SRR8284274	sample51	dummy	BioSample: SAMN10525356; Sample name: FLK-181; SRA: SRS4109522	breed: not aplicable	SINGLE	431374	431374
PRJNA508589_Orbicella-faveolata	SRR8284275	sample52	dummy	BioSample: SAMN10525355; Sample name: FLK-179; SRA: SRS4109521	breed: not aplicable	SINGLE	641038	641038
PRJNA508589_Orbicella-faveolata	SRR8284276	sample53	dummy	BioSample: SAMN10525354; Sample name: FLK-180; SRA: SRS4109520	breed: not aplicable	SINGLE	1405517	1405517
PRJNA508589_Orbicella-faveolata	SRR8284277	sample54	dummy	BioSample: SAMN10525363; Sample name: FLK-188; SRA: SRS4109519	breed: not aplicable	SINGLE	1360389	1360389
PRJNA508589_Orbicella-faveolata	SRR8284278	sample55	dummy	BioSample: SAMN10525362; Sample name: FLK-178; SRA: SRS4109518	breed: not aplicable	SINGLE	909316	909316
PRJNA508589_Orbicella-faveolata	SRR8284279	sample56	dummy	BioSample: SAMN10525173; Sample name: FLK-200b; SRA: SRS4109517	breed: not aplicable	SINGLE	908353	908353
