link	run_acc_sra	lat	long	coordinateUncertaintyInMeters	origin
PRJDB7819_Zenarchopterus-dunckeri	DRR163874	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163867	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163852	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163829	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163786	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163848	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163880	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163846	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163857	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163841	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163877	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163806	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163861	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163813	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163797	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163787	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163799	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163785	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163805	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163810	24.486196	124.230567	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163835	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163882	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163837	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163814	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163826	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163862	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163792	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163858	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163815	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163831	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163865	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163816	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163801	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163800	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163802	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163812	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163823	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163821	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163860	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163881	24.760338	125.28367	500	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163798	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163825	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163868	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163845	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163879	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163794	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163847	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163834	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163873	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163796	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163849	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163789	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163855	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163869	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163872	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163828	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163883	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163853	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163851	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163784	24.382934	124.250949	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163824	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163788	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163790	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163830	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163871	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163839	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163838	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163840	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163859	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163844	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163820	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163811	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163803	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163827	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163864	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163832	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163876	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163807	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163866	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163870	24.313183	123.708946	1000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163791	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163817	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163842	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163850	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163804	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163818	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163863	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163854	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163833	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163856	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163793	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163808	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163875	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163809	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163843	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163878	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163836	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163819	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163822	24.410525	123.775562	2000	datathon
PRJDB7819_Zenarchopterus-dunckeri	DRR163795	24.410525	123.775562	2000	datathon
